serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,miss_pattern
5PHKUTVD,2023-10-02,2023-12-18,24,1,0.5299439307163015,0.3869994653961834,2023-12-18,0.5299439307163015,0.3869994653961834,24,False,0,,True,17,2023-11-01,false_negative,,47.0,0.17005606928369843,detected_only_at_0.35,moderate_signal_0.35_to_0.60
5PHKW01D,2023-10-04,2023-11-02,8,1,0.40398940013808154,0.36032072948488736,2023-11-02,0.40398940013808154,0.36032072948488736,8,False,0,,True,3,2023-10-29,false_negative,,4.0,0.2960105998619184,detected_only_at_0.35,moderate_signal_0.35_to_0.60
5PHKWYED,2023-10-05,2023-11-15,15,1,0.3341195270929709,0.3341195270929708,2023-11-15,0.3341195270929709,0.3341195270929708,15,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
5PHPEN2D,2023-10-08,2023-11-30,16,1,0.42171160835809857,0.3683959280463801,2023-11-30,0.42171160835809857,0.3683959280463801,16,False,0,,True,7,2023-11-10,false_negative,,20.0,0.2782883916419014,detected_only_at_0.35,moderate_signal_0.35_to_0.60
5PHPLEGD,2023-10-03,2023-10-11,6,1,0.552565099988144,0.4595303426159474,2023-10-11,0.552565099988144,0.4595303426159474,6,False,0,,True,6,2023-10-03,false_negative,,8.0,0.147434900011856,detected_only_at_0.35,short_history_under_7_days
5PHRR7RD,2023-10-01,2023-10-09,4,1,0.36400333405319485,0.3512607829401776,2023-10-09,0.36400333405319485,0.3512607829401776,4,False,0,,True,2,2023-10-08,false_negative,,1.0,0.3359966659468051,detected_only_at_0.35,short_history_under_7_days
5PJAAGLD,2023-10-07,2023-12-03,20,1,0.5902657330850086,0.3738571419858836,2023-12-03,0.5902657330850086,0.3738571419858836,20,False,0,,True,3,2023-11-25,false_negative,,8.0,0.10973426691499133,detected_only_at_0.35,moderate_signal_0.35_to_0.60
5PJATL0F,2023-10-02,2023-12-11,25,1,0.3348234870593261,0.3348234870593261,2023-12-11,0.3348234870593261,0.3348234870593261,25,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
5QKVJ8UB,2023-11-07,2023-12-01,9,1,0.34704210934105184,0.34704210934105184,2023-12-01,0.34704210934105184,0.34704210934105184,9,False,0,,False,0,,false_negative,,,0.3529578906589481,missed_even_at_0.35,weak_signal_below_0.35
6120A00EF97G,2023-10-01,2023-11-06,14,1,0.372080704755176,0.372080704755176,2023-11-06,0.372080704755176,0.372080704755176,14,False,0,,True,14,2023-10-01,false_negative,,36.0,0.32791929524482394,detected_only_at_0.35,moderate_signal_0.35_to_0.60
